start_id,end_id
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
Q7251,Q20895930
Q20895930,Q76197806
Q20895935,Q63162691
Q298521,Q16372987
Q310798,Q26997674
Q43075535,Q76197853
