start_id,end_id
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
Q7251,Q20895935
Q20895930,Q76197809
Q20895935,Q75672313
Q298521,Q5298479
Q310798,Q26998179
Q43075535,Q76197856
