id,name
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
Q23070437,Rolf Schock Prize in Logic and Philosophy
Q253936,Fulbright Scholarship
Q1543268,MacArthur Fellows Program
Q1460659,Friedrich L. Bauer Prize
Q61744980,Fellow of the American Mathematical Society
Q52382875,Fellow of the American Academy of Arts and Sciences
Q20853411,Knight of the Order of Merit of the Republic of Poland
Q15631401,Fellow of the Royal Society
Q10762848,Officer of the Order of the British Empire
Q1690167,Smith's Prize
Q14420,Order of the British Empire
Q4363133,Computer Pioneer Award
Q61744587,Fellow of the American Statistical Association
Q59767712,Fellow of the Institute of Mathematical Statistics
Q1316544,Guggenheim Fellowship
