id,name
Q897511,cryptanalysis
Q21198,computer science
Q395,mathematics
Q8078,logic
Q8789,cryptography
Q1166618,mathematical logic
Q2878974,theoretical computer science
Q818930,computability theory
Q12483,statistics
Q338,cosmology
Q943303,contemporary philosophy
Q842333,Western philosophy
Q183216,analytic philosophy
Q484761,philosophy of language
Q35277,metaphysics
Q12482,set theory
Q9471,epistemology
Q23407,philosophy of mind
Q5891,philosophy
Q210841,modal logic
Q413,physics
Q80993,software engineering
