id,name
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q48282,student
Q4964182,philosopher
Q36180,writer
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q48282,student
Q4964182,philosopher
Q36180,writer
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
Q715679,patent inventor
Q43845,businessperson
Q6051619,opinion journalist
Q215536,merchant
Q15077007,podcaster
Q17486330,historian of mathematics
Q864380,biographer
Q15143191,science communicator
Q40348,lawyer
Q1709010,software engineer
Q82594,computer scientist
Q170790,mathematician
Q1622272,university teacher
Q15442776,cryptographer
Q14565331,logician
Q2732142,statistician
Q13382460,marathon runner
Q15976092,artificial intelligence researcher
Q4964182,philosopher
Q36180,writer
Q48282,student
Q169470,physicist
