id,name
Q867530,Victoria University of Manchester
Q220798,Government Communications Headquarters
Q35794,University of Cambridge
Q1967606,National Physical Laboratory
Q180865,University of Toronto
Q1420038,Queen's University
Q21578,Princeton University
Q174710,"University of California, Los Angeles"
Q155921,Bletchley Park
Q65379,Virginia Tech
Q230899,University of Manchester
Q4683781,Admiralty Research Laboratory
Q1665138,Institute for Defense Analyses
Q73079,Trinity College
Q1024543,CUNY Graduate School and University Center
